category,source_batches,instances,clusters,mean_capacity_utilization,median_cluster_diagonal_m,p95_cluster_diagonal_m,median_position_fill_ratio,candidate_instances_sum,actual_instances_sum,culling_waste_ratio,false_positive_cluster_ratio
Anthurium,6,138,17,0.03170955882352941,51.62360382080078,70.98326873779297,0.6181734800338745,4140,4140,0.0,0.0
Nettle,6,330,19,0.0678453947368421,59.12025451660156,75.89657592773438,0.6903612017631531,9900,9900,0.0,0.0
ShrubSorrel,7,630176,2476,0.9941942649434572,8.975386619567871,17.798856735229492,0.6147091388702393,18905280,18905280,0.0,0.0
Shrub,4,11337,48,0.922607421875,61.31819152832031,99.82238006591797,0.6195032596588135,349890,345462,0.01265540598473806,0.0033783783783783786
Grass_B,5,339865,1351,0.9826777618430792,13.108473777770996,79.35662841796875,0.6201657056808472,10367983,10321796,0.004454771964807427,0.0016260951872436474
Grass_A,6,280985,1104,0.9942007755887681,13.412698745727539,33.797183990478516,0.6051607131958008,8605166,8554018,0.0059438713907436535,0.0023368632787079215
Pyramid_Grass_B,5,44000,185,0.9290540540540541,14.610305786132812,26.870983123779297,0.6288767457008362,1364000,1362412,0.0011642228739002932,0.0
Pyramid_Moss,3,2034610,7953,0.9993329954105369,3.2365081310272217,5.84798526763916,0.5987622737884521,63069070,62986226,0.0013135440240358706,2.839434060228453e-05
QueenForest,3,613806,12277,0.19529850024435938,208.53170776367188,223.06520080566406,0.85714191198349,17221886,17060575,0.009366628022041256,0.0013505905552006487
RiverForest,3,2407967,13573,0.693002364528844,208.44436645507812,229.63845825195312,0.9433029294013977,67626763,66970122,0.00970978013541769,0.0012042002081659004
RiverSapling,5,45000,1242,0.14153079710144928,96.87399291992188,108.7586441040039,0.8320300579071045,1355995,1354319,0.0012359927580853911,0.00018715576707127962
RiverSeedling,5,2266462,9526,0.929389795034642,48.314727783203125,77.90237426757812,0.663104772567749,68172215,68133506,0.0005678119744238911,0.00015006630836881412
