sample,mesh_lod_id,visible_instances,index_count_per_instance
0,2,8,5001
0,3,75,2409
0,4,106,1164
0,5,75,594
0,6,13867,174
0,10,67,2301
0,11,111,1101
0,12,54,540
0,13,13894,195
0,17,88,2361
0,18,110,1209
0,19,130,591
0,20,13689,198
0,23,1,4986
0,24,72,2319
0,25,125,1182
0,26,61,597
0,27,14045,189
0,30,12,5058
0,31,95,2319
0,32,83,1176
0,33,73,594
0,34,14112,183
0,40,20,9054
0,41,412,2952
0,46,1,16911
0,47,31,8430
0,48,430,2628
0,52,1,36099
0,54,23,9108
0,55,497,3015
0,61,37,10008
0,62,447,3297
0,68,21,8949
0,69,463,2901
0,71,2,488835
0,73,40,114630
0,74,154,57111
0,75,392,28410
0,78,3,495099
0,79,5,245184
0,80,41,115683
0,81,143,58089
0,82,395,28791
0,84,2,1002915
0,85,4,494751
0,86,6,243141
0,87,52,115734
0,88,172,58218
0,89,405,29091
0,94,6,153372
0,95,21,76350
0,96,273,37611
0,97,9903,12363
0,101,4,154152
0,102,28,76026
0,103,211,37851
0,104,10018,12321
0,108,10,184167
0,109,31,91719
0,110,506,45783
0,118,70751,6
0,124,7175,18
0,125,206315,6
0,132,74124,6
0,139,8546,48
0,146,21143,36
0,153,25061,48
0,160,4668,21
0,167,22083,72
0,174,2520,42
0,181,9231,66
0,188,8548,138
0,195,7161,177
0,202,4993,36
0,209,11385,192
0,215,23,591
0,216,893,195
0,222,48,555
0,223,867,174
0,229,19,333
0,230,807,111
0,236,33,963
0,237,941,318
0,429,1,62424
0,436,1,62424
0,466,1,14976
0,471,1,62424
0,570,1,29376
0,599,1,14688
0,605,1,29376
0,612,1,29376
0,648,1,14688
0,655,1,14688
0,662,1,14688
0,668,1,29376
0,732,1,14688
0,739,1,14688
0,746,1,14688
0,753,1,14688
0,773,1,88134
0,780,1,88134
0,931,1,14058
0,938,1,910740
0,959,5098,6
0,960,4982,6
0,961,4994,6
0,962,5181,6
0,963,5542,6
0,964,5200,6
0,965,5192,6
0,966,5181,6
0,967,5207,6
0,968,5087,6
0,969,5152,6
0,970,5352,6
0,971,5739,6
0,972,5484,6
0,973,5260,6
0,974,5136,6
0,975,5052,6
0,976,4995,6
0,977,5279,6
0,978,5455,6
0,979,5776,6
0,980,5374,6
0,981,5454,6
0,982,5188,6
0,983,1412,6
0,984,1475,6
0,985,1447,6
0,986,1546,6
0,987,1696,6
0,988,1638,6
0,989,1514,6
0,990,1431,6
1,2,8,5001
1,3,75,2409
1,4,106,1164
1,5,75,594
1,6,13867,174
1,10,67,2301
1,11,111,1101
1,12,54,540
1,13,13894,195
1,17,88,2361
1,18,110,1209
1,19,130,591
1,20,13689,198
1,23,1,4986
1,24,72,2319
1,25,125,1182
1,26,61,597
1,27,14045,189
1,30,12,5058
1,31,95,2319
1,32,83,1176
1,33,73,594
1,34,14112,183
1,40,20,9054
1,41,412,2952
1,46,1,16911
1,47,31,8430
1,48,430,2628
1,52,1,36099
1,54,23,9108
1,55,497,3015
1,61,37,10008
1,62,447,3297
1,68,21,8949
1,69,463,2901
1,71,2,488835
1,73,40,114630
1,74,154,57111
1,75,392,28410
1,78,3,495099
1,79,5,245184
1,80,41,115683
1,81,143,58089
1,82,395,28791
1,84,2,1002915
1,85,4,494751
1,86,6,243141
1,87,52,115734
1,88,172,58218
1,89,405,29091
1,94,6,153372
1,95,21,76350
1,96,273,37611
1,97,9903,12363
1,101,4,154152
1,102,28,76026
1,103,211,37851
1,104,10018,12321
1,108,10,184167
1,109,31,91719
1,110,506,45783
1,118,70751,6
1,124,7175,18
1,125,206315,6
1,132,74124,6
1,139,8546,48
1,146,21143,36
1,153,25061,48
1,160,4668,21
1,167,22083,72
1,174,2520,42
1,181,9231,66
1,188,8548,138
1,195,7161,177
1,202,4993,36
1,209,11385,192
1,215,23,591
1,216,893,195
1,222,48,555
1,223,867,174
1,229,19,333
1,230,807,111
1,236,33,963
1,237,941,318
1,429,1,62424
1,436,1,62424
1,466,1,14976
1,471,1,62424
1,570,1,29376
1,599,1,14688
1,605,1,29376
1,612,1,29376
1,648,1,14688
1,655,1,14688
1,662,1,14688
1,668,1,29376
1,732,1,14688
1,739,1,14688
1,746,1,14688
1,753,1,14688
1,773,1,88134
1,780,1,88134
1,931,1,14058
1,938,1,910740
1,959,5098,6
1,960,4982,6
1,961,4994,6
1,962,5181,6
1,963,5542,6
1,964,5200,6
1,965,5192,6
1,966,5181,6
1,967,5207,6
1,968,5087,6
1,969,5152,6
1,970,5352,6
1,971,5739,6
1,972,5484,6
1,973,5260,6
1,974,5136,6
1,975,5052,6
1,976,4995,6
1,977,5279,6
1,978,5455,6
1,979,5776,6
1,980,5374,6
1,981,5454,6
1,982,5188,6
1,983,1412,6
1,984,1475,6
1,985,1447,6
1,986,1546,6
1,987,1696,6
1,988,1638,6
1,989,1514,6
1,990,1431,6
2,2,8,5001
2,3,75,2409
2,4,106,1164
2,5,75,594
2,6,13867,174
2,10,67,2301
2,11,111,1101
2,12,54,540
2,13,13894,195
2,17,88,2361
2,18,110,1209
2,19,130,591
2,20,13689,198
2,23,1,4986
2,24,72,2319
2,25,125,1182
2,26,61,597
2,27,14045,189
2,30,12,5058
2,31,95,2319
2,32,83,1176
2,33,73,594
2,34,14112,183
2,40,20,9054
2,41,412,2952
2,46,1,16911
2,47,31,8430
2,48,430,2628
2,52,1,36099
2,54,23,9108
2,55,497,3015
2,61,37,10008
2,62,447,3297
2,68,21,8949
2,69,463,2901
2,71,2,488835
2,73,40,114630
2,74,154,57111
2,75,392,28410
2,78,3,495099
2,79,5,245184
2,80,41,115683
2,81,143,58089
2,82,395,28791
2,84,2,1002915
2,85,4,494751
2,86,6,243141
2,87,52,115734
2,88,172,58218
2,89,405,29091
2,94,6,153372
2,95,21,76350
2,96,273,37611
2,97,9903,12363
2,101,4,154152
2,102,28,76026
2,103,211,37851
2,104,10018,12321
2,108,10,184167
2,109,31,91719
2,110,506,45783
2,118,70751,6
2,124,7175,18
2,125,206315,6
2,132,74124,6
2,139,8546,48
2,146,21143,36
2,153,25061,48
2,160,4668,21
2,167,22083,72
2,174,2520,42
2,181,9231,66
2,188,8548,138
2,195,7161,177
2,202,4993,36
2,209,11385,192
2,215,23,591
2,216,893,195
2,222,48,555
2,223,867,174
2,229,19,333
2,230,807,111
2,236,33,963
2,237,941,318
2,429,1,62424
2,436,1,62424
2,466,1,14976
2,471,1,62424
2,570,1,29376
2,599,1,14688
2,605,1,29376
2,612,1,29376
2,648,1,14688
2,655,1,14688
2,662,1,14688
2,668,1,29376
2,732,1,14688
2,739,1,14688
2,746,1,14688
2,753,1,14688
2,773,1,88134
2,780,1,88134
2,931,1,14058
2,938,1,910740
2,959,5098,6
2,960,4982,6
2,961,4994,6
2,962,5181,6
2,963,5542,6
2,964,5200,6
2,965,5192,6
2,966,5181,6
2,967,5207,6
2,968,5087,6
2,969,5152,6
2,970,5352,6
2,971,5739,6
2,972,5484,6
2,973,5260,6
2,974,5136,6
2,975,5052,6
2,976,4995,6
2,977,5279,6
2,978,5455,6
2,979,5776,6
2,980,5374,6
2,981,5454,6
2,982,5188,6
2,983,1412,6
2,984,1475,6
2,985,1447,6
2,986,1546,6
2,987,1696,6
2,988,1638,6
2,989,1514,6
2,990,1431,6
3,2,8,5001
3,3,75,2409
3,4,106,1164
3,5,75,594
3,6,13867,174
3,10,67,2301
3,11,111,1101
3,12,54,540
3,13,13894,195
3,17,88,2361
3,18,110,1209
3,19,130,591
3,20,13689,198
3,23,1,4986
3,24,72,2319
3,25,125,1182
3,26,61,597
3,27,14045,189
3,30,12,5058
3,31,95,2319
3,32,83,1176
3,33,73,594
3,34,14112,183
3,40,20,9054
3,41,412,2952
3,46,1,16911
3,47,31,8430
3,48,430,2628
3,52,1,36099
3,54,23,9108
3,55,497,3015
3,61,37,10008
3,62,447,3297
3,68,21,8949
3,69,463,2901
3,71,2,488835
3,73,40,114630
3,74,154,57111
3,75,392,28410
3,78,3,495099
3,79,5,245184
3,80,41,115683
3,81,143,58089
3,82,395,28791
3,84,2,1002915
3,85,4,494751
3,86,6,243141
3,87,52,115734
3,88,172,58218
3,89,405,29091
3,94,6,153372
3,95,21,76350
3,96,273,37611
3,97,9903,12363
3,101,4,154152
3,102,28,76026
3,103,211,37851
3,104,10018,12321
3,108,10,184167
3,109,31,91719
3,110,506,45783
3,118,70751,6
3,124,7175,18
3,125,206315,6
3,132,74124,6
3,139,8546,48
3,146,21143,36
3,153,25061,48
3,160,4668,21
3,167,22083,72
3,174,2520,42
3,181,9231,66
3,188,8548,138
3,195,7161,177
3,202,4993,36
3,209,11385,192
3,215,23,591
3,216,893,195
3,222,48,555
3,223,867,174
3,229,19,333
3,230,807,111
3,236,33,963
3,237,941,318
3,429,1,62424
3,436,1,62424
3,466,1,14976
3,471,1,62424
3,570,1,29376
3,599,1,14688
3,605,1,29376
3,612,1,29376
3,648,1,14688
3,655,1,14688
3,662,1,14688
3,668,1,29376
3,732,1,14688
3,739,1,14688
3,746,1,14688
3,753,1,14688
3,773,1,88134
3,780,1,88134
3,931,1,14058
3,938,1,910740
3,959,5098,6
3,960,4982,6
3,961,4994,6
3,962,5181,6
3,963,5542,6
3,964,5200,6
3,965,5192,6
3,966,5181,6
3,967,5207,6
3,968,5087,6
3,969,5152,6
3,970,5352,6
3,971,5739,6
3,972,5484,6
3,973,5260,6
3,974,5136,6
3,975,5052,6
3,976,4995,6
3,977,5279,6
3,978,5455,6
3,979,5776,6
3,980,5374,6
3,981,5454,6
3,982,5188,6
3,983,1412,6
3,984,1475,6
3,985,1447,6
3,986,1546,6
3,987,1696,6
3,988,1638,6
3,989,1514,6
3,990,1431,6
4,2,8,5001
4,3,75,2409
4,4,106,1164
4,5,75,594
4,6,13867,174
4,10,67,2301
4,11,111,1101
4,12,54,540
4,13,13894,195
4,17,88,2361
4,18,110,1209
4,19,130,591
4,20,13689,198
4,23,1,4986
4,24,72,2319
4,25,125,1182
4,26,61,597
4,27,14045,189
4,30,12,5058
4,31,95,2319
4,32,83,1176
4,33,73,594
4,34,14112,183
4,40,20,9054
4,41,412,2952
4,46,1,16911
4,47,31,8430
4,48,430,2628
4,52,1,36099
4,54,23,9108
4,55,497,3015
4,61,37,10008
4,62,447,3297
4,68,21,8949
4,69,463,2901
4,71,2,488835
4,73,40,114630
4,74,154,57111
4,75,392,28410
4,78,3,495099
4,79,5,245184
4,80,41,115683
4,81,143,58089
4,82,395,28791
4,84,2,1002915
4,85,4,494751
4,86,6,243141
4,87,52,115734
4,88,172,58218
4,89,405,29091
4,94,6,153372
4,95,21,76350
4,96,273,37611
4,97,9903,12363
4,101,4,154152
4,102,28,76026
4,103,211,37851
4,104,10018,12321
4,108,10,184167
4,109,31,91719
4,110,506,45783
4,118,70751,6
4,124,7175,18
4,125,206315,6
4,132,74124,6
4,139,8546,48
4,146,21143,36
4,153,25061,48
4,160,4668,21
4,167,22083,72
4,174,2520,42
4,181,9231,66
4,188,8548,138
4,195,7161,177
4,202,4993,36
4,209,11385,192
4,215,23,591
4,216,893,195
4,222,48,555
4,223,867,174
4,229,19,333
4,230,807,111
4,236,33,963
4,237,941,318
4,429,1,62424
4,436,1,62424
4,466,1,14976
4,471,1,62424
4,570,1,29376
4,599,1,14688
4,605,1,29376
4,612,1,29376
4,648,1,14688
4,655,1,14688
4,662,1,14688
4,668,1,29376
4,732,1,14688
4,739,1,14688
4,746,1,14688
4,753,1,14688
4,773,1,88134
4,780,1,88134
4,931,1,14058
4,938,1,910740
4,959,5098,6
4,960,4982,6
4,961,4994,6
4,962,5181,6
4,963,5542,6
4,964,5200,6
4,965,5192,6
4,966,5181,6
4,967,5207,6
4,968,5087,6
4,969,5152,6
4,970,5352,6
4,971,5739,6
4,972,5484,6
4,973,5260,6
4,974,5136,6
4,975,5052,6
4,976,4995,6
4,977,5279,6
4,978,5455,6
4,979,5776,6
4,980,5374,6
4,981,5454,6
4,982,5188,6
4,983,1412,6
4,984,1475,6
4,985,1447,6
4,986,1546,6
4,987,1696,6
4,988,1638,6
4,989,1514,6
4,990,1431,6
5,2,8,5001
5,3,75,2409
5,4,106,1164
5,5,75,594
5,6,13867,174
5,10,67,2301
5,11,111,1101
5,12,54,540
5,13,13894,195
5,17,88,2361
5,18,110,1209
5,19,130,591
5,20,13689,198
5,23,1,4986
5,24,72,2319
5,25,125,1182
5,26,61,597
5,27,14045,189
5,30,12,5058
5,31,95,2319
5,32,83,1176
5,33,73,594
5,34,14112,183
5,40,20,9054
5,41,412,2952
5,46,1,16911
5,47,31,8430
5,48,430,2628
5,52,1,36099
5,54,23,9108
5,55,497,3015
5,61,37,10008
5,62,447,3297
5,68,21,8949
5,69,463,2901
5,71,2,488835
5,73,40,114630
5,74,154,57111
5,75,392,28410
5,78,3,495099
5,79,5,245184
5,80,41,115683
5,81,143,58089
5,82,395,28791
5,84,2,1002915
5,85,4,494751
5,86,6,243141
5,87,52,115734
5,88,172,58218
5,89,405,29091
5,94,6,153372
5,95,21,76350
5,96,273,37611
5,97,9903,12363
5,101,4,154152
5,102,28,76026
5,103,211,37851
5,104,10018,12321
5,108,10,184167
5,109,31,91719
5,110,506,45783
5,118,70751,6
5,124,7175,18
5,125,206315,6
5,132,74124,6
5,139,8546,48
5,146,21143,36
5,153,25061,48
5,160,4668,21
5,167,22083,72
5,174,2520,42
5,181,9231,66
5,188,8548,138
5,195,7161,177
5,202,4993,36
5,209,11385,192
5,215,23,591
5,216,893,195
5,222,48,555
5,223,867,174
5,229,19,333
5,230,807,111
5,236,33,963
5,237,941,318
5,429,1,62424
5,436,1,62424
5,466,1,14976
5,471,1,62424
5,570,1,29376
5,599,1,14688
5,605,1,29376
5,612,1,29376
5,648,1,14688
5,655,1,14688
5,662,1,14688
5,668,1,29376
5,732,1,14688
5,739,1,14688
5,746,1,14688
5,753,1,14688
5,773,1,88134
5,780,1,88134
5,931,1,14058
5,938,1,910740
5,959,5098,6
5,960,4982,6
5,961,4994,6
5,962,5181,6
5,963,5542,6
5,964,5200,6
5,965,5192,6
5,966,5181,6
5,967,5207,6
5,968,5087,6
5,969,5152,6
5,970,5352,6
5,971,5739,6
5,972,5484,6
5,973,5260,6
5,974,5136,6
5,975,5052,6
5,976,4995,6
5,977,5279,6
5,978,5455,6
5,979,5776,6
5,980,5374,6
5,981,5454,6
5,982,5188,6
5,983,1412,6
5,984,1475,6
5,985,1447,6
5,986,1546,6
5,987,1696,6
5,988,1638,6
5,989,1514,6
5,990,1431,6
6,2,8,5001
6,3,75,2409
6,4,106,1164
6,5,75,594
6,6,13867,174
6,10,67,2301
6,11,111,1101
6,12,54,540
6,13,13894,195
6,17,88,2361
6,18,110,1209
6,19,130,591
6,20,13689,198
6,23,1,4986
6,24,72,2319
6,25,125,1182
6,26,61,597
6,27,14045,189
6,30,12,5058
6,31,95,2319
6,32,83,1176
6,33,73,594
6,34,14112,183
6,40,20,9054
6,41,412,2952
6,46,1,16911
6,47,31,8430
6,48,430,2628
6,52,1,36099
6,54,23,9108
6,55,497,3015
6,61,37,10008
6,62,447,3297
6,68,21,8949
6,69,463,2901
6,71,2,488835
6,73,40,114630
6,74,154,57111
6,75,392,28410
6,78,3,495099
6,79,5,245184
6,80,41,115683
6,81,143,58089
6,82,395,28791
6,84,2,1002915
6,85,4,494751
6,86,6,243141
6,87,52,115734
6,88,172,58218
6,89,405,29091
6,94,6,153372
6,95,21,76350
6,96,273,37611
6,97,9903,12363
6,101,4,154152
6,102,28,76026
6,103,211,37851
6,104,10018,12321
6,108,10,184167
6,109,31,91719
6,110,506,45783
6,118,70751,6
6,124,7175,18
6,125,206315,6
6,132,74124,6
6,139,8546,48
6,146,21143,36
6,153,25061,48
6,160,4668,21
6,167,22083,72
6,174,2520,42
6,181,9231,66
6,188,8548,138
6,195,7161,177
6,202,4993,36
6,209,11385,192
6,215,23,591
6,216,893,195
6,222,48,555
6,223,867,174
6,229,19,333
6,230,807,111
6,236,33,963
6,237,941,318
6,429,1,62424
6,436,1,62424
6,466,1,14976
6,471,1,62424
6,570,1,29376
6,599,1,14688
6,605,1,29376
6,612,1,29376
6,648,1,14688
6,655,1,14688
6,662,1,14688
6,668,1,29376
6,732,1,14688
6,739,1,14688
6,746,1,14688
6,753,1,14688
6,773,1,88134
6,780,1,88134
6,931,1,14058
6,938,1,910740
6,959,5098,6
6,960,4982,6
6,961,4994,6
6,962,5181,6
6,963,5542,6
6,964,5200,6
6,965,5192,6
6,966,5181,6
6,967,5207,6
6,968,5087,6
6,969,5152,6
6,970,5352,6
6,971,5739,6
6,972,5484,6
6,973,5260,6
6,974,5136,6
6,975,5052,6
6,976,4995,6
6,977,5279,6
6,978,5455,6
6,979,5776,6
6,980,5374,6
6,981,5454,6
6,982,5188,6
6,983,1412,6
6,984,1475,6
6,985,1447,6
6,986,1546,6
6,987,1696,6
6,988,1638,6
6,989,1514,6
6,990,1431,6
7,2,8,5001
7,3,75,2409
7,4,106,1164
7,5,75,594
7,6,13867,174
7,10,67,2301
7,11,111,1101
7,12,54,540
7,13,13894,195
7,17,88,2361
7,18,110,1209
7,19,130,591
7,20,13689,198
7,23,1,4986
7,24,72,2319
7,25,125,1182
7,26,61,597
7,27,14045,189
7,30,12,5058
7,31,95,2319
7,32,83,1176
7,33,73,594
7,34,14112,183
7,40,20,9054
7,41,412,2952
7,46,1,16911
7,47,31,8430
7,48,430,2628
7,52,1,36099
7,54,23,9108
7,55,497,3015
7,61,37,10008
7,62,447,3297
7,68,21,8949
7,69,463,2901
7,71,2,488835
7,73,40,114630
7,74,154,57111
7,75,392,28410
7,78,3,495099
7,79,5,245184
7,80,41,115683
7,81,143,58089
7,82,395,28791
7,84,2,1002915
7,85,4,494751
7,86,6,243141
7,87,52,115734
7,88,172,58218
7,89,405,29091
7,94,6,153372
7,95,21,76350
7,96,273,37611
7,97,9903,12363
7,101,4,154152
7,102,28,76026
7,103,211,37851
7,104,10018,12321
7,108,10,184167
7,109,31,91719
7,110,506,45783
7,118,70751,6
7,124,7175,18
7,125,206315,6
7,132,74124,6
7,139,8546,48
7,146,21143,36
7,153,25061,48
7,160,4668,21
7,167,22083,72
7,174,2520,42
7,181,9231,66
7,188,8548,138
7,195,7161,177
7,202,4993,36
7,209,11385,192
7,215,23,591
7,216,893,195
7,222,48,555
7,223,867,174
7,229,19,333
7,230,807,111
7,236,33,963
7,237,941,318
7,429,1,62424
7,436,1,62424
7,466,1,14976
7,471,1,62424
7,570,1,29376
7,599,1,14688
7,605,1,29376
7,612,1,29376
7,648,1,14688
7,655,1,14688
7,662,1,14688
7,668,1,29376
7,732,1,14688
7,739,1,14688
7,746,1,14688
7,753,1,14688
7,773,1,88134
7,780,1,88134
7,931,1,14058
7,938,1,910740
7,959,5098,6
7,960,4982,6
7,961,4994,6
7,962,5181,6
7,963,5542,6
7,964,5200,6
7,965,5192,6
7,966,5181,6
7,967,5207,6
7,968,5087,6
7,969,5152,6
7,970,5352,6
7,971,5739,6
7,972,5484,6
7,973,5260,6
7,974,5136,6
7,975,5052,6
7,976,4995,6
7,977,5279,6
7,978,5455,6
7,979,5776,6
7,980,5374,6
7,981,5454,6
7,982,5188,6
7,983,1412,6
7,984,1475,6
7,985,1447,6
7,986,1546,6
7,987,1696,6
7,988,1638,6
7,989,1514,6
7,990,1431,6
8,2,8,5001
8,3,75,2409
8,4,106,1164
8,5,75,594
8,6,13867,174
8,10,67,2301
8,11,111,1101
8,12,54,540
8,13,13894,195
8,17,88,2361
8,18,110,1209
8,19,130,591
8,20,13689,198
8,23,1,4986
8,24,72,2319
8,25,125,1182
8,26,61,597
8,27,14045,189
8,30,12,5058
8,31,95,2319
8,32,83,1176
8,33,73,594
8,34,14112,183
8,40,20,9054
8,41,412,2952
8,46,1,16911
8,47,31,8430
8,48,430,2628
8,52,1,36099
8,54,23,9108
8,55,497,3015
8,61,37,10008
8,62,447,3297
8,68,21,8949
8,69,463,2901
8,71,2,488835
8,73,40,114630
8,74,154,57111
8,75,392,28410
8,78,3,495099
8,79,5,245184
8,80,41,115683
8,81,143,58089
